,Gender,Years of Experience,How often do you work in teams?,R1,R2,R3,R4,R5,R6,R_level,EU1,EU2,EU3,EU4,EU5,EU_level,EC1,EC2,EC3,EC_level,EA1,EA2,EA3,EA4,EA5,EA_level,EUS1,EUS2,EUS3,EUS4,EUS5,EUS_level
0,Male,4,Sometimes,5.0,3.0,5.0,4.0,4.0,3.0,high,5.0,4.0,5.0,5.0,4.0,high,5.0,4.0,4.0,high,3.0,4.0,5.0,5.0,4.0,high,4.0,5.0,5.0,5.0,5.0,high
1,Female,9,Sometimes,3.0,2.0,3.0,2.0,3.0,2.0,medium,3.0,3.0,4.0,3.0,4.0,medium,4.0,3.0,2.0,medium,2.0,4.0,2.0,4.0,3.0,medium,2.0,2.0,2.0,3.0,4.0,medium
2,Female,1,Sometimes,4.0,5.0,4.0,4.0,4.0,5.0,high,5.0,5.0,4.0,4.0,3.0,high,4.0,3.0,4.0,high,5.0,4.0,4.0,4.0,4.0,high,1.0,2.0,3.0,2.0,2.0,low
3,Male,1,Never,4.0,5.0,5.0,5.0,5.0,4.0,high,5.0,5.0,4.0,4.0,3.0,high,5.0,3.0,4.0,high,4.0,3.0,5.0,5.0,5.0,high,1.0,3.0,3.0,1.0,3.0,low
4,Male,1,Usually,3.0,3.0,2.0,2.0,2.0,3.0,low,2.0,2.0,2.0,3.0,2.0,low,2.0,1.0,1.0,low,4.0,4.0,5.0,5.0,4.0,high,4.0,3.0,3.0,3.0,3.0,medium
5,Male,2,Usually,5.0,5.0,5.0,3.0,4.0,5.0,high,5.0,4.0,5.0,5.0,5.0,high,4.0,5.0,4.0,high,4.0,4.0,5.0,5.0,5.0,high,1.0,2.0,3.0,1.0,2.0,low
6,Male,2,Usually,3.0,4.0,5.0,3.0,4.0,5.0,high,5.0,4.0,4.0,4.0,5.0,high,2.0,4.0,4.0,medium,3.0,1.0,1.0,3.0,3.0,low,3.0,5.0,4.0,5.0,4.0,high
7,Female,2,Usually,5.0,4.0,5.0,4.0,4.0,5.0,high,4.0,5.0,4.0,3.0,4.0,high,4.0,5.0,4.0,high,5.0,5.0,5.0,3.0,4.0,high,5.0,5.0,5.0,4.0,5.0,high
8,Female,7,Usually,5.0,5.0,5.0,3.0,4.0,4.0,high,4.0,4.0,5.0,4.0,4.0,high,5.0,3.0,3.0,high,4.0,5.0,4.0,3.0,4.0,high,5.0,3.0,5.0,5.0,5.0,high
9,Female,2,Sometimes,4.0,3.0,4.0,3.0,4.0,3.0,medium,3.0,3.0,2.0,2.0,2.0,medium,2.0,2.0,3.0,medium,2.0,4.0,3.0,3.0,3.0,medium,3.0,3.0,3.0,2.0,3.0,medium
10,Male,2,Usually,3.0,2.0,4.0,2.0,2.0,3.0,medium,2.0,2.0,2.0,2.0,3.0,medium,4.0,4.0,3.0,medium,4.0,5.0,5.0,4.0,5.0,high,3.0,5.0,4.0,5.0,5.0,high
11,Female,3,Usually,3.0,3.0,3.0,2.0,1.0,3.0,low,2.0,2.0,2.0,1.0,3.0,low,2.0,2.0,1.0,low,3.0,4.0,4.0,4.0,4.0,medium,4.0,4.0,3.0,3.0,3.0,medium
12,Female,1,Usually,4.0,4.0,4.0,2.0,3.0,4.0,medium,2.0,4.0,4.0,2.0,2.0,medium,3.0,3.0,3.0,medium,3.0,3.0,4.0,2.0,4.0,medium,5.0,5.0,4.0,5.0,4.0,high
13,Male,6,Usually,2.0,3.0,4.0,3.0,3.0,2.0,medium,4.0,2.0,2.0,3.0,3.0,medium,4.0,4.0,2.0,medium,3.0,5.0,4.0,4.0,5.0,high,2.0,3.0,3.0,3.0,3.0,medium
14,Male,1,Sometimes,5.0,4.0,5.0,5.0,5.0,5.0,high,4.0,4.0,5.0,3.0,4.0,high,4.0,5.0,5.0,high,4.0,4.0,3.0,2.0,2.0,medium,3.0,2.0,3.0,2.0,2.0,medium
15,Male,18,Usually,4.0,4.0,5.0,5.0,5.0,5.0,high,5.0,5.0,5.0,4.0,4.0,high,3.0,4.0,5.0,high,5.0,5.0,4.0,5.0,5.0,high,5.0,5.0,4.0,4.0,5.0,high
16,Male,5,Sometimes,3.0,4.0,3.0,4.0,4.0,4.0,medium,2.0,2.0,3.0,2.0,3.0,medium,2.0,2.0,4.0,medium,2.0,4.0,3.0,4.0,3.0,medium,3.0,2.0,3.0,3.0,3.0,medium
17,Male,1,Sometimes,3.0,2.0,3.0,2.0,3.0,3.0,medium,3.0,2.0,4.0,3.0,3.0,medium,5.0,4.0,4.0,high,4.0,2.0,4.0,3.0,2.0,medium,3.0,3.0,4.0,4.0,4.0,medium
18,Male,1,Usually,3.0,2.0,2.0,4.0,3.0,2.0,medium,3.0,2.0,3.0,3.0,4.0,medium,3.0,1.0,2.0,low,4.0,2.0,3.0,3.0,3.0,medium,3.0,4.0,3.0,5.0,5.0,high
19,Male,6,Usually,4.0,2.0,3.0,2.0,2.0,3.0,medium,2.0,2.0,3.0,3.0,3.0,medium,3.0,3.0,4.0,medium,3.0,3.0,3.0,3.0,1.0,low,4.0,2.0,4.0,3.0,2.0,medium
20,Female,5,Never,3.0,4.0,4.0,3.0,3.0,4.0,medium,4.0,3.0,2.0,2.0,2.0,medium,2.0,2.0,4.0,medium,2.0,2.0,3.0,3.0,4.0,medium,2.0,2.0,3.0,4.0,3.0,medium
21,Male,5,Sometimes,3.0,2.0,2.0,4.0,4.0,3.0,medium,2.0,2.0,2.0,2.0,4.0,medium,3.0,3.0,3.0,medium,3.0,2.0,4.0,3.0,3.0,medium,3.0,4.0,2.0,3.0,2.0,medium
22,Male,5,Sometimes,2.0,2.0,2.0,3.0,4.0,3.0,medium,3.0,3.0,4.0,2.0,3.0,medium,4.0,3.0,3.0,medium,4.0,3.0,2.0,2.0,3.0,medium,2.0,1.0,2.0,3.0,1.0,low
23,Male,1,Sometimes,4.0,4.0,3.0,3.0,3.0,2.0,medium,5.0,5.0,4.0,4.0,5.0,high,2.0,2.0,4.0,medium,2.0,4.0,2.0,3.0,4.0,medium,2.0,4.0,3.0,4.0,3.0,medium
24,Male,2,Never,4.0,2.0,2.0,2.0,2.0,4.0,medium,3.0,3.0,2.0,4.0,2.0,medium,3.0,2.0,3.0,medium,3.0,3.0,2.0,4.0,3.0,medium,2.0,3.0,2.0,3.0,3.0,low
25,Female,1,Sometimes,4.0,3.0,4.0,4.0,4.0,4.0,high,4.0,5.0,4.0,4.0,5.0,high,4.0,5.0,4.0,high,4.0,4.0,3.0,5.0,4.0,high,2.0,3.0,3.0,4.0,4.0,medium
26,Male,7,Usually,3.0,3.0,2.0,3.0,3.0,3.0,medium,3.0,2.0,3.0,3.0,2.0,medium,3.0,3.0,4.0,medium,4.0,5.0,4.0,5.0,5.0,high,2.0,4.0,2.0,4.0,3.0,medium
27,Male,4,Sometimes,5.0,4.0,3.0,5.0,3.0,5.0,high,4.0,3.0,5.0,4.0,5.0,high,4.0,3.0,4.0,high,5.0,5.0,5.0,4.0,3.0,high,3.0,5.0,4.0,5.0,4.0,high
28,Male,2,Sometimes,5.0,4.0,5.0,4.0,5.0,5.0,high,5.0,5.0,5.0,4.0,4.0,high,3.0,4.0,5.0,high,5.0,5.0,4.0,4.0,4.0,high,5.0,4.0,3.0,3.0,5.0,high
29,Male,1,Usually,4.0,4.0,2.0,2.0,2.0,2.0,medium,4.0,4.0,4.0,2.0,4.0,medium,4.0,2.0,2.0,medium,3.0,2.0,3.0,2.0,3.0,medium,3.0,2.0,3.0,3.0,3.0,medium
30,Female,2,Sometimes,2.0,1.0,2.0,3.0,1.0,3.0,low,2.0,2.0,4.0,3.0,4.0,medium,2.0,2.0,2.0,low,3.0,2.0,2.0,1.0,1.0,low,4.0,5.0,4.0,4.0,5.0,high
31,Male,2,Usually,2.0,3.0,3.0,4.0,4.0,4.0,medium,4.0,2.0,2.0,2.0,4.0,medium,4.0,4.0,3.0,medium,3.0,3.0,2.0,3.0,4.0,medium,4.0,2.0,2.0,4.0,3.0,medium
32,Male,5,Usually,2.0,4.0,4.0,4.0,3.0,3.0,medium,3.0,3.0,4.0,3.0,4.0,medium,3.0,3.0,2.0,medium,2.0,3.0,2.0,2.0,4.0,medium,2.0,2.0,4.0,2.0,3.0,medium
33,Female,4,Sometimes,4.0,5.0,5.0,4.0,5.0,5.0,high,4.0,4.0,4.0,5.0,5.0,high,4.0,5.0,4.0,high,3.0,3.0,4.0,3.0,2.0,medium,3.0,2.0,3.0,2.0,4.0,medium
34,Female,8,Usually,3.0,2.0,3.0,2.0,3.0,2.0,low,3.0,2.0,2.0,3.0,2.0,low,2.0,3.0,3.0,low,2.0,1.0,2.0,1.0,1.0,low,2.0,3.0,2.0,2.0,2.0,low
35,Female,2,Sometimes,3.0,1.0,2.0,3.0,3.0,2.0,low,3.0,2.0,2.0,1.0,3.0,low,2.0,2.0,3.0,low,1.0,2.0,2.0,3.0,1.0,low,2.0,3.0,2.0,2.0,3.0,low
36,Male,1,Sometimes,4.0,4.0,4.0,5.0,5.0,5.0,high,5.0,5.0,5.0,4.0,4.0,high,4.0,4.0,5.0,high,2.0,3.0,4.0,2.0,4.0,medium,2.0,3.0,4.0,2.0,3.0,medium
37,Male,5,Never,3.0,4.0,3.0,5.0,4.0,5.0,high,5.0,3.0,5.0,5.0,5.0,high,3.0,5.0,5.0,high,2.0,3.0,3.0,3.0,3.0,low,3.0,2.0,3.0,4.0,3.0,medium
38,Female,5,Usually,2.0,2.0,4.0,3.0,2.0,2.0,medium,4.0,2.0,4.0,2.0,3.0,medium,3.0,4.0,2.0,medium,4.0,2.0,4.0,3.0,4.0,medium,4.0,4.0,2.0,3.0,2.0,medium
39,Male,3,Sometimes,3.0,5.0,5.0,3.0,3.0,5.0,high,4.0,4.0,5.0,5.0,5.0,high,4.0,5.0,5.0,high,5.0,5.0,5.0,3.0,3.0,high,5.0,5.0,5.0,5.0,5.0,high
40,Male,5,Never,3.0,4.0,4.0,4.0,4.0,3.0,medium,3.0,2.0,3.0,2.0,4.0,medium,3.0,4.0,4.0,medium,2.0,4.0,2.0,4.0,3.0,medium,3.0,1.0,3.0,3.0,3.0,low
41,Male,3,Sometimes,3.0,2.0,2.0,3.0,1.0,2.0,low,2.0,2.0,3.0,1.0,2.0,low,3.0,1.0,2.0,low,3.0,2.0,2.0,2.0,3.0,low,2.0,1.0,2.0,1.0,3.0,low
42,Male,3,Usually,2.0,1.0,1.0,1.0,2.0,3.0,low,2.0,1.0,3.0,3.0,2.0,low,1.0,1.0,2.0,low,3.0,3.0,2.0,1.0,2.0,low,3.0,3.0,3.0,3.0,3.0,medium
43,Female,2,Sometimes,4.0,3.0,2.0,4.0,2.0,4.0,medium,4.0,4.0,2.0,3.0,3.0,medium,4.0,2.0,3.0,medium,1.0,1.0,2.0,3.0,3.0,low,4.0,5.0,5.0,4.0,5.0,high
44,Male,1,Never,3.0,1.0,3.0,2.0,3.0,1.0,low,3.0,3.0,3.0,2.0,1.0,low,3.0,2.0,2.0,low,3.0,3.0,3.0,4.0,2.0,medium,3.0,2.0,3.0,3.0,3.0,low
45,Female,1,Usually,4.0,3.0,3.0,3.0,3.0,3.0,medium,5.0,4.0,5.0,5.0,5.0,high,3.0,2.0,2.0,medium,5.0,4.0,5.0,4.0,5.0,high,4.0,3.0,4.0,4.0,5.0,high
46,Male,1,Usually,4.0,2.0,2.0,4.0,4.0,3.0,medium,3.0,2.0,3.0,4.0,2.0,medium,2.0,4.0,3.0,medium,4.0,4.0,5.0,5.0,4.0,high,4.0,3.0,4.0,2.0,4.0,medium
47,Male,4,Sometimes,4.0,4.0,4.0,4.0,5.0,3.0,high,4.0,5.0,5.0,4.0,4.0,high,5.0,5.0,4.0,high,5.0,5.0,4.0,5.0,5.0,high,4.0,5.0,5.0,4.0,5.0,high
48,Male,2,Usually,5.0,5.0,5.0,4.0,5.0,5.0,high,4.0,4.0,4.0,4.0,4.0,high,4.0,4.0,5.0,high,2.0,4.0,2.0,4.0,3.0,medium,2.0,3.0,2.0,2.0,2.0,medium
49,Male,3,Usually,3.0,3.0,3.0,3.0,2.0,2.0,low,2.0,3.0,2.0,2.0,2.0,low,4.0,4.0,3.0,medium,3.0,2.0,2.0,2.0,2.0,low,5.0,5.0,4.0,4.0,5.0,high
50,Female,8,Sometimes,5.0,3.0,3.0,4.0,5.0,5.0,high,2.0,1.0,3.0,1.0,2.0,low,5.0,4.0,4.0,high,3.0,4.0,2.0,3.0,3.0,medium,2.0,3.0,2.0,3.0,3.0,medium
51,Female,2,Usually,2.0,2.0,3.0,3.0,3.0,2.0,low,3.0,2.0,2.0,1.0,3.0,low,1.0,1.0,1.0,low,2.0,4.0,3.0,2.0,2.0,medium,1.0,3.0,2.0,1.0,3.0,low
52,Female,2,Sometimes,2.0,2.0,4.0,4.0,4.0,4.0,medium,4.0,2.0,2.0,2.0,3.0,medium,1.0,3.0,2.0,low,3.0,3.0,4.0,3.0,2.0,medium,2.0,3.0,1.0,1.0,1.0,low
53,Female,5,Usually,4.0,4.0,4.0,2.0,3.0,2.0,medium,2.0,4.0,3.0,3.0,3.0,medium,3.0,2.0,4.0,medium,4.0,2.0,2.0,2.0,4.0,medium,2.0,3.0,2.0,3.0,4.0,medium
